#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 01 23 04 10  80  6.0  9.0    MM    MM    MM  MM 1019.3  22.8  23.8  19.7   MM   MM    MM
2021 01 23 04 00  70  6.0  8.0    MM    MM    MM  MM 1019.3  22.1  23.8  19.6   MM +0.7    MM
2021 01 23 03 50  70  7.0 10.0   3.7    19   8.6 327 1019.4  21.4  23.8  19.4   MM   MM    MM
2021 01 23 03 40  80 10.0 14.0   3.7    MM   8.6 327 1019.6  21.2  23.8  19.6   MM   MM    MM
2021 01 23 03 30  80 11.0 17.0    MM    MM    MM  MM 1019.5  22.6  23.8  19.5   MM   MM    MM
2021 01 23 03 20  80 11.0 13.0    MM    MM    MM  MM 1019.1  22.8    MM  19.4   MM   MM    MM
2021 01 23 03 10  70 11.0 15.0    MM    MM    MM  MM 1019.0  23.0  23.8  19.6   MM   MM    MM
2021 01 23 03 00  60  6.0  9.0    MM    MM    MM  MM 1018.9  23.3    MM  20.0   MM +0.4    MM
2021 01 23 02 50  60  6.0  8.0   3.2    21   8.1 308 1019.1  22.9  23.8  19.6   MM   MM    MM
2021 01 23 02 40  60  7.0  9.0    MM    MM    MM  MM 1019.1  22.6  23.8  19.2   MM   MM    MM
2021 01 23 02 30  70  7.0  9.0    MM    MM    MM  MM 1019.0  22.6  23.8  19.6   MM   MM    MM
2021 01 23 02 20  70  8.0 11.0    MM    MM    MM  MM 1018.9  22.3  23.8  19.0   MM   MM    MM
2021 01 23 02 10  90 10.0 13.0    MM    MM    MM  MM 1018.9  22.6  23.8  19.4   MM   MM    MM
2021 01 23 02 00  80  8.0 13.0    MM    MM    MM  MM 1018.9  23.4  23.8  19.6   MM -0.5    MM
2021 01 23 01 50  60  8.0 10.0   3.2    21   7.7 322 1018.8  23.3  23.8  19.4   MM   MM    MM
2021 01 23 01 40  70  8.0 10.0    MM    MM    MM  MM 1018.7  23.5  23.8  19.4   MM   MM    MM
2021 01 23 01 30  70  9.0 12.0    MM    MM    MM  MM 1018.7  23.6  23.8  19.2   MM   MM    MM
2021 01 23 01 20  80  7.0 10.0    MM    MM    MM  MM 1018.7  23.9  23.8  19.0   MM   MM    MM
2021 01 23 01 10  80  8.0 10.0    MM    MM    MM  MM 1018.7  23.9  23.8  19.1   MM   MM    MM
